taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,Faecalibacterium prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,Mediterraneibacter gnavus,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium adolescentis,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
33033,"[33033, 543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",543311,Parvimonas micra,parvimonas,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria
28132,"[28132, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Prevotella melaninogenica,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
1261,"[1261, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1257,Peptostreptococcus anaerobius,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,Staphylococcus aureus,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria
1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1309,"[1309, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus mutans,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
827,"[827, 194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",194,Campylobacter ureolyticus,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,Campylobacterota,,bacteria
824,"[824, 194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",194,Campylobacter gracilis,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,Campylobacterota,,bacteria
28132,"[28132, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",838,Prevotella melaninogenica,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,Staphylococcus aureus,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria
1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1338,"[1338, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus intermedius,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1309,"[1309, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus mutans,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
33033,"[33033, 543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",543311,Parvimonas micra,parvimonas,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria
1261,"[1261, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1257,Peptostreptococcus anaerobius,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,Staphylococcus aureus,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria
1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
28037,"[28037, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus mitis,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,Bifidobacterium sp.,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
33035,"[33035, 572511, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",572511,Blautia producta,blautia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,Bacteroides sp.,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
287,"[287, 136841, 286, 135621, 72274, 1236, 1224, 2, 131567, 1]",136841,Pseudomonas aeruginosa,pseudomonas,pseudomonadaceae,pseudomonadales,gammaproteobacteria,Pseudomonadota,,bacteria
1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium catenulatum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium catenulatum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium catenulatum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
216816,"[216816, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium longum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
216816,"[216816, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium longum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
1689,"[1689, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium dentium,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,Enterococcus sp.,enterococcus,enterococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
42895,"[42895, 2608935, 547, 543, 91347, 1236, 1224, 2, 131567, 1]",2608935,Enterobacter sp.,enterobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,Bifidobacterium sp.,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
239935,"[239935, 239934, 1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",239934,Akkermansia muciniphila,akkermansia,akkermansiaceae,verrucomicrobiales,verrucomicrobiia,Verrucomicrobiota,pvc group,bacteria
329854,"[329854, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",816,Bacteroides intestinalis,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
208479,"[208479, 2719313, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2719313,Enterocloster bolteae,enterocloster,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
154046,"[154046, 1649459, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1649459,Hungatella hathewayi,hungatella,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
1547,"[1547, 3025755, 2810280, 526525, 526524, 1239, 1783272, 2, 131567, 1]",3025755,Thomasclavelia ramosa,thomasclavelia,coprobacillaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria
1512,"[1512, 1506553, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1506553,[clostridium] symbiosum,lachnoclostridium,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
84112,"[84112, 84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",84111,Eggerthella lenta,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria
562,"[562, 561, 543, 91347, 1236, 1224, 2, 131567, 1]",561,Escherichia coli,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
239759,"[239759, 171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171550,,alistipes,rikenellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,Parabacteroides sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
292632,"[292632, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,subdoligranulum,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
39491,"[39491, 1766253, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1766253,Agathobacter rectalis,agathobacter,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,Faecalibacterium prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
729,"[729, 724, 712, 135625, 1236, 1224, 2, 131567, 1]",724,Haemophilus parainfluenzae,haemophilus,pasteurellaceae,pasteurellales,gammaproteobacteria,Pseudomonadota,,bacteria
166486,"[166486, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,Roseburia intestinalis,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
360807,"[360807, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,Roseburia inulinivorans,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,Eubacterium sp.,eubacterium,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
128827,"[128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",526525,,,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria
821,"[821, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,Phocaeicola vulgatus,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,Eubacterium sp.,eubacterium,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,Eubacterium sp.,eubacterium,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,Bacteroides sp.,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,Parabacteroides sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,lachnospira,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
904,"[904, 909930, 1843488, 909932, 1239, 1783272, 2, 131567, 1]",909930,,acidaminococcus,acidaminococcaceae,acidaminococcales,negativicutes,Bacillota,terrabacteria group,bacteria
29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria
239934,"[239934, 1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",1647988,,akkermansia,akkermansiaceae,verrucomicrobiales,verrucomicrobiia,Verrucomicrobiota,pvc group,bacteria
544,"[544, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,citrobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
171,"[171, 170, 1643688, 203692, 203691, 2, 131567, 1]",170,,leptospira,leptospiraceae,leptospirales,spirochaetia,Spirochaetota,,bacteria
53246,"[53246, 267888, 135622, 1236, 1224, 2, 131567, 1]",267888,,pseudoalteromonas,pseudoalteromonadaceae,alteromonadales,gammaproteobacteria,Pseudomonadota,,bacteria
79206,"[79206, 2937909, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2937909,,desulfosporosinus,desulfitobacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
1125,"[1125, 1890449, 1118, 1301283, 3028117, 1117, 1798711, 1783272, 2, 131567, 1]",1890449,,microcystis,microcystaceae,chroococcales,cyanophyceae,Cyanobacteriota,terrabacteria group,bacteria
429,"[429, 403, 135618, 1236, 1224, 2, 131567, 1]",403,,methylobacter,methylococcaceae,methylococcales,gammaproteobacteria,Pseudomonadota,,bacteria
561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
625,"[625, 2629414, 620, 543, 91347, 1236, 1224, 2, 131567, 1]",2629414,Shigella sp.,shigella,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
239759,"[239759, 171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171550,,alistipes,rikenellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,Parabacteroides sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
40519,"[40519, 1263, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1263,Ruminococcus callidus,ruminococcus,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
40518,"[40518, 1263, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1263,Ruminococcus bromii,ruminococcus,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria
68766,"[68766, 2648384, 848, 203492, 203491, 203490, 32066, 2, 131567, 1]",2648384,Fusobacterium sp.,fusobacterium,fusobacteriaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
543311,"[543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,parvimonas,peptoniphilaceae,tissierellales,tissierellia,Bacillota,terrabacteria group,bacteria
1262,"[1262, 2652281, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2652281,Peptostreptococcus sp.,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
39948,"[39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,dialister,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria
47293,"[47293, 2652277, 2050, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2652277,Mobiluncus sp.,mobiluncus,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria
128827,"[128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",526525,,,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria
616,"[616, 2647522, 613, 1903411, 91347, 1236, 1224, 2, 131567, 1]",2647522,Serratia sp. (in: enterobacteria),serratia,yersiniaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
229037,"[229037, 257482, 583, 1903414, 91347, 1236, 1224, 2, 131567, 1]",257482,Proteus sp. (in: enterobacteria),proteus,morganellaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria
638847,"[638847, 3029088, 649776, 649775, 508458, 2, 131567, 1]",3029088,,pyramidobacter,dethiosulfovibrionaceae,synergistales,synergistia,Synergistota,,bacteria
52228,"[52228, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171552,,hallella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria
409,"[409, 2615210, 407, 119045, 356, 28211, 1224, 2, 131567, 1]",2615210,Methylobacterium sp.,methylobacterium,methylobacteriaceae,hyphomicrobiales,alphaproteobacteria,Pseudomonadota,,bacteria
186804,"[186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria
970,"[970, 1843491, 909929, 909932, 1239, 1783272, 2, 131567, 1]",1843491,,selenomonas,selenomonadaceae,selenomonadales,negativicutes,Bacillota,terrabacteria group,bacteria
2108,"[2108, 2683645, 2093, 2092, 2085, 31969, 544448, 1783272, 2, 131567, 1]",2683645,Mycoplasma sp.,mycoplasma,mycoplasmataceae,mycoplasmatales,mollicutes,Mycoplasmatota,terrabacteria group,bacteria
